ACTS,"BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE",,,60,,7,,2,0,0,18,24,1,0,0,0,0,0,2,2,0,0,0,0,5,2,0,0,123
BBIT,"BACHELOR OF BUSINESS INFORMATION TECHNOLOGY",,,180,,5,,12,0,0,57,47,8,8,0,0,42,14,3,2,0,0,5,0,2,1,0,0,386
BEF,"BACHELOR OF SCIENCE IN ECONOMICS AND FINANCE",,,100,,6,,3,0,0,46,48,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,208
BHT,"BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM",,,50,,1,,2,0,0,3,5,0,3,0,0,2,1,0,3,0,0,0,0,0,1,0,0,71
BMC,"BACHELOR OF MASS COMMUNICATION",,,120,,2,,4,0,0,12,6,2,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,152
BMIS,"BACHELOR OF MANAGEMENT INFORMATION SYSTEM",,,10,,0,,0,0,0,3,6,5,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,32
BMIT,"BACHELOR OF BUSINESS MANAGEMENT & INFORMATION TECHNOLOGY",,,35,,3,,1,0,0,17,10,9,1,0,0,20,13,21,24,0,0,5,3,10,4,0,0,
BMPT,"BACHELOR OF MUSIC PRODUCTION TECHNOLOGY ",,,5,,1,,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
BMTC,"BACHELOR OF MUSIC THEORY AND COMPOSITION",,,10,,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,
BPL,"BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT",,,120,,6,,5,0,0,31,28,1,0,0,0,1,4,3,0,0,0,0,1,1,1,0,0,
BSCSF,"BACHELOR OF SCIENCE IN COMPUTER SECURITY AND FORENSICS",,,55,,7,,0,0,0,38,17,3,0,0,0,1,1,2,0,0,0,1,0,6,1,0,0,
CECD,"CERTIFICATE IN EARLY CHILDHOOD EDUCATION",,,2,,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CIT,"CERTIFICATE IN INFORMATION TECHNOLOGY",,,10,,3,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLM,"BACHELOR OF SCIENCE IN CLINICAL MEDICINE",,,100,,10,,13,0,0,51,36,25,36,0,0,9,10,24,16,1,0,15,11,14,15,0,0,
CM,"BACHELOR OF COMMERCE",,,250,,24,,10,0,0,111,108,20,19,0,0,92,49,45,23,0,0,1,5,13,12,0,0,
CMU,"CERTIFICATE IN MUSIC",,,10,,1,,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
